no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
204	DXL	Daytime χ Leonids	154.00	142.10	12.80	0.00	0.00	27.40	1.60	0.33	0.79	238.40	334.90	2.50
205	XAU	ξ Aurigids	158.00	93.50	62.60	0.00	0.00	56.90	28.24	0.97	0.97	128.00	157.50	106.40
206	AUR	Aurigids	158.70	89.80	38.70	1.35	0.25	65.70	0.68	0.68	0.00	110.20	158.70	148.50
206	AUR	Aurigids	158.60	85.50	42.00	0.00	0.00	66.30	999.99	0.80	1.00	121.50	158.60	146.40
206	AUR	Aurigids	158.00	90.90	38.60	1.24	-0.01	65.60	13.23	0.66	0.96	107.30	156.20	149.10
207	SCS	September β Cassiopeiids	173.00	33.00	68.90	0.00	0.00	69.10	15.80	0.97	0.94	176.10	172.80	162.40
208	SPE	September ε Perseids	170.00	50.20	39.40	0.00	0.00	64.50	31.10	0.74	0.98	241.90	171.30	138.90
208	SPE	September ε Perseids	168.00	48.60	39.60	1.17	0.26	64.80	8.81	0.72	0.98	245.30	168.20	139.90
211	AOR	September α Orionids	183.00	86.70	9.00	0.00	0.00	62.00	1.52	0.91	0.40	47.00	2.70	152.00
212	KLE	Daytime κ Leonids	180.70	162.70	15.70	0.00	0.00	43.60	48.00	0.11	1.00	39.00	180.70	26.00
212	KLE	Daytime κ Leonids	184.20	162.20	14.00	0.00	-0.20	44.80	17.00	0.17	0.99	31.90	184.20	24.80
212	KLE	Daytime κ Leonids	182.50	161.50	15.40	0.55	-0.26	43.30	5.92	0.09	0.99	32.80	182.60	24.80
212	KLE	Daytime κ Leonids	183.00	162.30	14.90	0.62	-0.30	43.30	6.79	0.09	0.99	33.84	183.00	24.10
213	BRC	β Gruids	160.30	337.00	-47.00	0.00	0.00	21.00	3.16	0.85	0.73	50.80	340.30	16.90
214	BCP	β Capricornids	167.70	305.70	-12.80	0.00	0.00	37.00	2.43	0.17	0.93	43.00	327.70	13.00
215	NPI	Northern δ Piscids	168.30	0.80	3.90	0.00	0.00	27.40	1.87	0.34	0.82	298.50	168.30	3.80
215	NPI	Northern δ Piscids	173.50	9.10	7.20	0.00	0.00	25.60	1.35	0.31	0.77	306.30	173.50	3.50
215	NPI	Northern δ Piscids	173.30	7.00	7.00	0.00	0.00	30.40	1.98	0.27	0.86	305.20	173.30	5.20
215	NPI	Northern δ Piscids	184.00	9.20	7.70	1.07	0.12	31.20	4.83	0.26	0.95	306.60	174.40	5.20
215	NPI	Northern δ Piscids	176.00	10.20	8.60	0.93	0.39	28.00	1.63	0.29	0.82	305.10	172.00	4.90
216	SPI	Southern δ Piscids	184.00	23.60	5.10	0.00	0.00	26.50	1.55	0.25	0.84	130.60	4.00	6.30
216	SPI	Southern δ Piscids	183.00	18.70	5.20	0.70	0.90	28.60	1.64	0.28	0.83	125.70	3.00	5.40
216	SPI	Southern δ Piscids	182.90	20.30	2.70	0.00	-0.70	31.90	2.50	0.27	0.89	123.90	2.90	8.40
216	SPI	Southern δ Piscids	182.90	17.00	-11.00	0.00	0.00	23.60	1.79	0.49	0.73	102.40	2.90	14.60
216	SPI	Southern δ Piscids	176.00	16.20	2.80	0.92	0.38	28.60	1.45	0.25	0.83	132.80	353.90	5.60
217	OPC	ω Piscids	174.00	0.50	-8.80	0.00	0.00	21.40	3.17	0.64	0.80	79.40	3.00	5.70
218	GSA	September γ Sagittariids	170.10	270.80	-31.00	0.00	0.00	6.20	2.01	1.00	0.50	8.00	350.80	1.00
219	SAR	September μ Arietids	179.00	19.30	15.60	1.40	0.00	36.70	3.60	0.18	0.95	312.90	183.30	14.80
219	SAR	September μ Arietids	179.50	28.50	18.60	0.00	0.00	36.30	1.28	0.07	0.95	336.80	179.50	22.90
219	SAR	September μ Arietids	180.20	24.30	19.00	0.00	0.00	31.20	1.17	0.15	0.88	326.60	180.20	17.10
219	SAR	September μ Arietids	178.30	27.10	12.50	0.00	0.00	33.70	1.24	0.09	0.93	333.60	178.30	3.60
220	NDR	ν Draconids	170.30	265.40	59.80	0.00	0.00	20.30	2.56	1.00	0.61	181.40	162.60	32.30
220	NDR	ν Draconids	172.00	267.70	54.00	0.37	-0.02	18.90	2.90	1.00	0.65	182.00	171.70	28.80
221	DSX	Daytime Sextantids	186.10	154.50	-1.50	0.84	-0.43	31.20	1.04	0.15	0.86	212.50	6.10	23.10
221	DSX	Daytime Sextantids	186.50	154.60	-1.40	0.70	-0.51	31.84	1.27	0.18	0.86	219.60	6.20	20.70
221	DSX	Daytime Sextantids	186.00	154.30	-1.00	0.56	-0.54	31.30	1.07	0.15	0.86	212.99	6.00	22.00
221	DSX	Daytime Sextantids	188.00	156.60	-2.40	0.91	-0.37	32.90	1.14	0.15	0.87	214.30	6.40	24.30
222	DDl	Daytime δ Leonids	183.00	172.70	21.20	0.00	0.00	31.10	1.89	0.32	0.83	59.90	182.80	23.20
223	GVI	Daytime γ Virginids	184.00	168.40	3.60	0.00	0.00	23.30	2.04	0.62	0.70	273.20	345.80	0.90
224	DAU	October δ Aurigids	191.00	83.50	50.40	1.10	0.10	64.90	24.10	0.84	0.96	226.70	191.00	130.20
225	SOR	σ Orionids	187.00	87.90	0.50	0.92	0.01	66.20	9.70	0.93	0.92	30.60	9.60	139.70
226	ZTA	ζ Taurids	196.00	86.10	14.70	0.00	0.00	67.20	21.30	0.72	0.97	70.90	16.50	162.40
226	ZTA	ζ Taurids	193.50	71.50	28.20	0.00	0.00	56.50	1.63	0.23	0.86	311.80	193.50	163.10
227	OMO	October Monocerotids	206.00	101.90	-1.40	0.00	0.00	63.50	5.20	0.86	0.83	46.40	25.70	135.00
228	OLY	October Lyncids	206.00	111.30	48.80	0.00	0.00	64.80	9.30	0.93	0.90	211.70	205.80	133.30
