no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
359	MZC	May ζ Cygnids	60.00	318.20	29.80	0.00	0.00	29.20	0.69	0.37	0.47	4.16	60.00	67.70
360	PSP	ψ Pegasids	63.00	1.80	28.10	1.11	0.70	30.80	0.76	0.15	0.80	23.88	63.00	57.70
361	TSR	thη Serpentids	65.00	284.00	6.00	0.77	-0.35	32.00	0.93	0.24	0.74	322.68	65.00	54.30
362	JMC	June μ Cassiopeiids	74.00	17.50	53.90	0.91	0.28	43.60	57.24	0.58	0.99	97.68	74.00	68.30
362	JMC	June μ Cassiopeiids	77.00	15.80	55.40	1.08	0.38	41.70	6.04	0.63	0.91	100.60	77.40	68.50
363	ZER	ζ Eridanids	93.00	50.80	-4.10	0.64	0.44	50.90	3.22	0.23	0.93	232.64	273.00	103.50
364	KCT	κ Cetids	94.00	51.00	4.60	1.71	0.95	29.20	0.75	0.09	0.89	198.05	274.00	35.70
365	BCM	β Camelopardalids	100.00	59.70	59.70	2.10	0.03	42.70	67.75	0.51	0.99	89.78	100.00	63.70
366	JBP	July β Pegasids	100.00	349.10	34.40	0.00	0.00	27.80	0.62	0.22	0.65	357.06	100.00	67.40
367	OPG	ο Pegasids	100.00	336.90	31.20	0.00	0.00	28.50	0.66	0.26	0.60	345.97	100.00	66.00
368	JAD	July Andromedids	101.00	36.10	49.10	0.68	0.96	34.70	0.89	0.27	0.69	38.44	101.00	69.70
369	JTR	July Taurids	104.00	70.00	1.50	0.81	0.16	39.70	1.54	0.15	0.90	217.82	284.00	60.90
370	MIC	Microscopiids	104.00	320.30	-28.30	0.89	0.29	38.00	1.68	0.11	0.94	147.95	284.00	36.70
371	APG	α Pegasids	106.00	353.90	17.80	0.00	0.00	35.90	0.58	0.09	0.84	352.04	106.00	107.70
372	PPS	φ Piscids	106.00	20.10	24.10	1.56	0.36	62.90	2.09	0.86	0.59	125.02	106.00	152.60
372	PPS	φ Piscids	94.00	12.90	22.00	0.00	0.00	67.10	8.66	0.88	0.90	136.70	97.70	152.60
372	PPS	φ Piscids	103.00	17.00	25.00	0.97	0.38	66.50	6.63	0.89	0.88	136.90	102.90	150.40
373	TPR	thη Perseids	106.00	41.10	47.60	0.87	-0.07	53.00	4.53	0.46	0.90	81.16	106.00	104.40
374	ISC	ι Sculptorids	128.00	5.20	-28.10	0.23	-0.40	36.70	1.02	0.22	0.79	141.83	308.00	69.10
375	AOE	August ο Eridanids	134.00	66.90	-8.30	1.22	0.08	45.00	0.86	0.43	0.50	222.87	314.00	108.70
376	ALN	August Lyncids	135.00	119.80	55.10	1.52	-0.23	41.70	32.65	0.44	0.99	81.76	135.00	57.60
377	DMO	Daytime Monocerotids	137.00	114.10	-3.10	0.00	0.00	37.20	4.11	0.33	0.92	245.62	317.00	41.10
378	GER	γ Eridanids	138.00	61.90	-17.40	0.00	0.00	56.90	3.15	0.99	0.69	339.34	318.00	113.90
379	ACT	August Cetids	153.00	7.00	-5.60	1.85	0.00	20.20	0.82	0.25	0.69	146.20	333.00	8.30
380	KDR	κ Draconids	158.00	189.40	73.10	0.95	-0.70	38.00	-10.53	0.90	1.08	142.16	158.00	57.50
381	DPL	Daytime π Leonids	174.00	145.60	8.70	0.76	-0.34	41.70	2.35	0.06	0.98	204.80	354.00	20.20
382	BUM	β Ursae Majorids	184.00	161.20	56.50	1.53	0.10	50.30	-26.45	0.69	1.03	112.24	184.00	85.00
383	LDR	λ Draconids	196.00	156.10	74.70	1.29	-0.23	37.50	1.33	0.98	0.26	152.87	196.00	72.50
384	OLP	October Leporids	203.00	81.60	-13.80	1.08	0.26	25.50	0.71	0.28	0.61	154.59	23.00	50.00
385	AUM	α Ursae Majorids	209.00	174.60	64.60	1.07	-0.55	35.60	1.10	0.87	0.21	105.32	209.00	70.50
386	OBC	October β Camelopardalids	214.00	66.80	56.20	1.45	0.30	47.60	6.57	0.42	0.94	281.50	214.00	80.90
386	OBC	October β Camelopardalids	205.00	45.80	52.30	1.29	0.27	43.60	5.69	0.39	0.93	286.30	205.20	68.60
387	OKD	October κ Draconids	216.00	182.10	63.40	0.95	-0.47	37.30	1.26	0.92	0.27	130.83	216.00	72.20
388	CTA	χ Taurids	220.00	63.20	24.70	0.96	0.19	42.10	4.97	0.08	0.98	328.49	220.00	12.30
388	CTA	χ Taurids	221.00	63.00	26.20	1.09	0.18	41.10	4.76	0.10	0.98	324.70	220.90	15.00
389	OME	ω Eridanids	234.00	73.30	-5.30	0.95	0.35	31.80	2.49	0.42	0.83	105.79	54.00	34.10
390	THA	November θ Aurigids	237.00	89.00	34.70	1.49	0.14	33.80	1.13	0.12	0.90	330.07	237.00	27.80
390	THA	November θ Aurigids	244.00	95.70	34.70	1.19	-0.04	32.50	1.12	0.14	0.88	327.50	243.60	24.90
391	NDD	November δ Draconids	241.00	277.70	68.20	0.00	0.00	25.50	4.61	0.99	0.79	185.41	241.00	39.50
392	NID	November i Draconids	241.00	200.10	64.50	0.72	-0.31	43.00	3.76	0.99	0.74	181.09	241.00	74.90
392	NID	November i Draconids	242.00	196.50	68.00	0.64	-0.38	41.90	3.62	0.97	0.73	194.70	254.40	72.90
393	RBO	ρ Bootids	242.00	215.70	31.80	0.00	0.00	43.00	2.64	0.58	0.78	93.07	242.00	73.00
394	ACA	α Canis Majorids	247.00	100.20	-17.30	0.69	0.44	42.00	3.70	0.51	0.86	92.32	67.00	67.10
394	ACA	α Canis Majorids	245.00	98.50	-16.90	0.80	-0.06	43.10	4.28	0.51	0.91	91.30	64.70	68.30
395	GCM	γ Canis Majorids	257.00	109.80	-11.30	0.43	-0.17	43.60	3.13	0.37	0.88	109.05	77.00	70.20
396	DTA	December θ Aurigids	261.00	93.00	36.60	0.00	0.00	58.90	-0.46	0.23	1.50	285.63	261.00	35.50
397	NGM	ν Geminids	262.00	99.00	18.10	0.00	0.00	65.80	-0.38	0.08	1.22	132.01	82.00	26.70
398	DCM	December Canis Majorids	266.00	112.30	-14.60	0.00	0.00	42.80	7.04	0.44	0.94	97.80	86.00	63.70
398	DCM	December Canis Majorids	272.00	117.30	-12.50	0.84	-0.19	42.90	4.21	0.39	0.92	105.60	91.00	60.30
399	DHY	December Hydrids	266.00	131.50	-11.30	0.89	-0.58	54.50	4.82	0.41	0.91	103.08	86.00	105.90
400	BMO	β Monocerotids	271.00	100.50	-8.80	0.00	0.00	31.00	3.84	0.53	0.86	90.20	91.00	33.00
401	BSX	β Sextantids	292.00	160.20	1.80	1.15	-0.44	53.20	1.84	0.07	0.96	153.55	112.00	149.70
402	JHY	January Hydrids	292.00	149.70	-22.10	1.14	-0.83	37.90	0.97	0.28	0.71	136.00	112.00	73.00
403	CVN	Canum Venaticids	293.00	203.30	42.80	0.33	-0.30	52.60	9.40	0.87	0.91	221.54	293.00	93.30
404	GUM	γ Ursae Minorids	299.00	231.80	66.80	0.70	-0.57	31.80	4.20	0.96	0.77	199.54	299.00	51.10
404	GUM	γ Ursae Minorids	298.00	228.30	69.20	0.14	-0.26	28.80	2.88	0.95	0.67	203.40	298.80	47.10
405	MHY	μ Hydrids	300.00	154.30	-20.90	0.65	0.76	39.10	1.08	0.25	0.77	135.79	120.00	71.80
406	FCB	February Comae Berenicids	324.00	186.20	29.10	0.00	0.00	24.20	0.95	0.36	0.62	310.97	324.00	30.50
407	OEE	October η Eridanids	201.00	45.80	-9.80	0.00	0.00	25.40	1.33	0.41	0.69	115.82	21.00	26.40
408	KHY	κ Hydrids	283.00	139.10	-12.90	0.00	0.00	37.60	1.04	0.21	0.79	140.08	103.00	66.50
410	DPI	δ Piscids	92.00	11.20	5.60	0.93	0.39	69.00	7.96	0.91	0.91	144.30	92.30	178.30
411	CAN	c Andromedids	107.00	29.10	47.30	1.13	0.35	57.50	8.40	0.69	0.94	109.10	107.40	112.90
413	MUL	μ Lyrids	120.00	267.00	41.90	0.56	-0.02	18.10	2.88	0.98	0.66	204.00	120.80	26.50
416	SIC	September ι Cassiopeiids	167.00	30.30	63.90	1.34	0.34	52.30	8.84	0.89	0.91	220.10	167.80	95.30
419	DAC	Daytime April Cetids	29.70	13.60	-2.70	0.00	0.00	28.90	1.61	0.28	0.83	233.00	209.70	11.00
420	CCA	χ Capricornids	58.10	314.30	-23.20	0.00	0.00	65.40	3.04	0.72	0.76	70.00	240.10	167.60
421	MMI	May Microscopiids	57.90	309.40	-42.70	0.00	0.00	60.20	5.60	0.59	0.88	83.80	237.90	129.50
422	NLL	Northern Librids-Lupids	67.80	227.90	-17.40	0.00	0.00	13.30	1.84	0.83	0.55	239.90	67.90	0.20
423	SLL	Southern Librids-Lupids	64.90	235.50	-30.80	0.00	0.00	20.80	2.24	0.64	0.71	81.40	245.40	7.10
424	SOL	September-October Lyncids	178.00	121.00	47.80	1.29	-0.21	62.40	24.22	0.70	0.98	113.00	177.90	126.00
425	PSA	ψ Aurigids	195.00	119.20	44.30	1.25	-0.20	66.00	4.04	0.96	0.86	154.30	194.40	139.10
426	DCR	Daytime Craterids	158.00	168.80	-15.30	0.00	0.00	18.90	4.07	0.81	0.80	303.00	338.00	9.70
427	FED	February η Draconids	315.11	239.92	62.49	0.00	0.00	35.60	-250.00	0.97	1.00	194.09	315.07	55.20
427	FED	February η Draconids	315.00	239.60	62.40	0.26	-0.20	35.10	18.58	0.97	0.98	194.30	315.10	54.70
428	DSV	December σ Virginids	267.41	205.05	5.47	0.00	0.00	66.00	23.27	0.60	0.97	102.66	267.41	149.64
428	DSV	December σ Virginids	262.00	200.80	5.80	0.90	-0.37	66.20	8.18	0.56	0.97	97.90	261.80	151.50
429	ACB	α Coronae Borealids	309.89	233.28	27.01	0.00	0.00	58.00	93.48	0.98	0.99	175.35	309.89	105.40
429	ACB	?lpha Coronae Borealids	308.00	231.70	27.70	0.75	-0.24	57.00	16.85	0.98	0.94	176.30	307.80	104.10
430	POR	September π Orionids	178.42	74.88	8.44	0.00	0.00	68.00	12.45	0.85	0.93	46.27	358.21	154.12
431	JIP	June ι Pegasids	94.46	332.63	29.20	0.00	0.00	59.00	75.63	0.90	0.99	219.57	94.46	113.38
431	JIP	June ι Pegasids	94.00	332.10	29.10	0.81	0.35	58.50	7.44	0.90	0.93	219.90	94.10	112.80
432	NBO	ν Bootids	299.18	206.00	12.60	0.00	0.00	62.80	2.75	0.85	0.69	221.70	299.80	140.50
433	ETP	η Pegasids	135.40	334.60	32.70	0.00	0.00	34.50	1.46	0.46	0.69	293.10	134.80	55.10
434	BAR	β Arietids	135.28	28.80	21.90	0.00	0.00	65.50	3.25	0.88	0.73	226.20	135.00	161.10
435	MPR	μ Perseids	139.64	70.40	50.00	0.00	0.00	54.20	1.91	0.59	0.69	88.40	139.50	121.30
436	GCP	γ Cepheids	234.99	47.60	79.50	0.00	0.00	33.80	6.12	0.83	0.86	228.90	235.60	51.60
437	NLY	November Lyncids	237.92	141.80	40.00	0.00	0.00	60.60	2.57	0.75	0.71	246.10	237.90	132.50
438	MLE	μ Leonids	235.70	142.40	29.30	0.00	0.00	66.00	3.31	0.86	0.74	225.20	235.80	153.60
439	ASX	α Sextantids	237.37	154.60	-3.40	0.00	0.00	68.80	16.90	0.90	0.95	325.30	56.60	155.60
440	NLM	November Leonis Minorids	237.99	162.20	33.00	0.00	0.00	65.20	3.83	0.96	0.75	171.00	237.40	138.90
441	NLD	November λ Draconids	236.07	177.30	70.40	0.00	0.00	41.70	2.57	0.95	0.63	200.80	236.00	74.80
442	RLE	ρ Leonids	262.18	155.60	5.20	0.00	0.00	65.60	3.00	0.69	0.77	72.80	82.20	170.80
443	DCL	December Leonids	262.19	155.30	20.80	0.00	0.00	64.10	3.27	0.54	0.84	270.10	262.30	159.00
444	ZCS	ζ Cassiopeiids	113.20	6.90	50.70	1.40	0.50	57.30	19.60	1.00	0.95	163.60	113.20	107.50
444	ZCS	ζ Cassiopeiids	109.00	3.10	49.50	0.95	0.40	57.10	12.81	1.00	0.96	165.40	112.10	106.60
445	KUM	κ Ursae Majorids	225.00	147.20	45.00	1.13	-0.34	65.70	-19.54	0.99	1.00	185.90	224.00	129.60
446	DPC	December φ Cassiopeiids	252.00	19.50	57.70	1.14	0.37	16.50	3.10	0.90	0.71	218.70	252.10	18.00
448	AAL	April α Librids	13.60	219.70	-12.90	0.00	0.00	40.70	2.26	0.07	0.97	332.80	13.60	9.20
448	AAL	April α Librids	14.40	219.70	-13.00	0.00	0.00	37.70	1.76	0.10	0.94	329.60	14.40	6.70
449	ABS	April β Sextantids	13.60	164.90	4.40	0.00	0.00	12.30	2.28	0.90	0.60	42.90	193.60	1.50
449	ABS	April β Sextantids	7.30	166.50	5.55	0.00	0.00	14.65	2.47	0.84	0.66	52.40	187.30	0.70
450	AED	April ε Delphinids	20.20	307.20	11.80	0.00	0.00	61.50	248.33	0.74	1.00	119.10	20.10	122.30
450	AED	April ε Delphinids	20.00	307.10	11.60	0.85	0.24	61.30	13.77	0.75	0.98	119.40	17.00	122.70
451	CAM	Camelopardalids	39.10	172.60	83.70	0.00	0.00	14.70	2.62	1.00	0.62	168.10	39.10	20.70
451	CAM	Camelopardalids	40.60	182.70	83.20	0.00	0.00	13.02	2.07	1.00	0.52	167.90	40.60	19.00
451	CAM	Camelopardalids	39.00	170.90	76.80	1.17	-0.39	14.00	2.73	1.00	0.63	167.60	39.10	19.10
452	TVI	thη Virginids	39.50	196.90	-1.00	0.00	0.00	14.90	2.70	0.86	0.68	230.50	39.60	2.40
453	MML	May μ Leonids	40.30	145.50	27.20	0.00	0.00	7.70	2.21	1.00	0.55	182.80	40.70	2.80
454	MPV	May φ Virginids	41.60	220.20	0.30	0.00	0.00	21.70	2.55	0.65	0.74	259.70	41.60	10.40
455	MAC	May α Comae Berenicids	42.80	205.20	18.70	0.00	0.00	13.70	2.32	0.90	0.61	223.40	42.80	10.00
456	MPS	May ψ Scorpiids	61.50	244.50	-10.60	0.00	0.00	25.40	2.68	0.52	0.81	275.50	61.50	9.40
456	MPS	May ψ Scorpiids	61.70	243.70	-10.50	0.00	0.00	24.63	2.58	0.54	0.79	273.20	61.70	9.00
456	MPS	May ψ Scorpiids	63.00	245.60	-10.90	0.99	-0.16	25.10	2.66	0.52	0.80	275.10	59.80	9.20
457	MDL	May δ Leonids	54.10	171.20	20.90	0.00	0.00	7.40	1.96	1.00	0.49	189.10	54.20	3.10
458	JEC	June ε Cygnids	82.30	314.30	33.20	0.00	0.00	53.20	304.67	0.91	1.00	216.80	82.30	95.60
458	JEC	June ε Cygnids	83.00	315.50	33.10	0.00	0.00	52.11	8.13	0.91	0.89	218.70	83.00	95.40
458	JEC	June ε Cygnids	83.00	316.10	33.70	0.73	0.29	53.00	11.58	0.92	0.92	215.60	83.40	96.40
459	JEO	June ε Ophiuchids	84.10	246.90	-5.20	0.00	0.00	15.60	2.42	0.83	0.66	236.80	84.10	7.30
459	JEO	June ε Ophiuchids	89.00	244.70	-8.80	0.97	-0.17	14.90	2.53	0.87	0.66	230.30	89.10	4.90
460	LOP	λ Ophiuchids	84.50	257.20	-3.70	0.00	0.00	19.70	2.87	0.74	0.74	248.20	84.50	11.10
460	LOP	λ Ophiuchids	85.90	257.60	-5.40	0.00	0.00	19.62	2.62	0.72	0.72	251.80	85.90	10.30
460	LOP	λ Ophiuchids	91.00	260.10	-4.10	0.95	-0.07	19.40	3.03	0.75	0.75	246.70	89.10	10.70
461	JGS	July δ Sagittariids	108.90	272.10	-27.10	0.00	0.00	16.30	2.58	0.80	0.69	61.80	288.80	1.80
462	JGP	July γ Pegasids	120.80	358.60	14.20	0.00	0.00	62.60	5.46	0.52	0.90	273.80	120.80	150.00
462	JGP	July γ Pegasids	120.50	357.10	13.30	0.00	0.00	62.31	6.21	0.48	0.92	275.20	120.50	149.40
463	JRH	July ρ Herculids	124.60	265.10	36.40	0.00	0.00	15.60	2.67	0.98	0.63	203.80	124.60	21.30
463	JRH	July ρ Herculids	125.80	265.90	36.20	0.00	0.00	14.80	2.20	0.98	0.55	204.50	125.80	19.73
464	KLY	κ Lyrids	126.90	277.50	33.30	0.00	0.00	18.60	3.11	0.94	0.70	215.10	126.80	24.70
464	KLY	κ Lyrids	125.90	276.30	34.80	0.00	0.00	18.61	3.10	0.94	0.69	213.60	125.90	25.10
464	KLY	κ Lyrids	125.00	276.70	33.50	0.33	0.03	19.00	3.39	0.94	0.72	214.60	125.50	25.40
465	AXC	August ξ Cassiopeiids	135.80	4.90	48.90	0.00	0.00	55.50	8.03	0.91	0.89	219.10	135.80	104.90
465	AXC	August ξ Cassiopeiids	136.10	4.70	48.90	0.00	0.00	54.72	5.41	0.90	0.83	221.40	136.10	104.20
465	AXC	August ξ Cassiopeiids	136.00	5.20	48.60	0.96	0.40	56.50	15.27	0.91	0.94	217.80	136.10	106.10
466	AOC	August ο Cetids	138.50	30.70	0.30	0.00	0.00	67.50	-45.25	0.72	1.02	64.20	318.50	157.90
466	AOC	August ο Cetids	136.80	29.00	0.90	0.00	0.00	65.84	7.03	0.70	0.90	64.20	316.80	159.80
466	AOC	August ο Cetids	138.00	29.80	-0.10	0.92	0.34	66.40	13.20	0.69	0.95	68.30	318.30	157.20
467	ANA	August ν Aquariids	139.40	317.10	-13.10	0.00	0.00	21.80	2.82	0.62	0.78	263.60	139.40	2.60
467	ANA	August ν Aquariids	139.50	318.10	-12.20	0.00	0.00	21.35	2.47	0.61	0.75	265.60	139.50	2.60
468	AAH	August α Herculids	142.10	267.20	19.20	0.00	0.00	11.20	2.46	0.99	0.60	200.60	142.10	11.90
468	AAH	August α Herculids	136.30	267.80	20.60	0.00	0.00	12.47	2.65	0.98	0.63	204.40	136.30	13.50
469	AUS	August υ Sagittariids	145.10	287.90	-12.20	0.00	0.00	11.10	2.33	0.93	0.60	217.80	145.10	3.00
470	AMD	August μ Draconids	145.40	253.70	58.80	0.00	0.00	19.50	2.92	1.01	0.65	177.20	145.40	30.30
470	AMD	August μ Draconids	144.40	254.80	58.20	0.00	0.00	18.98	2.74	1.01	0.63	178.40	144.40	29.50
470	AMD	August μ Draconids	149.00	256.40	62.50	0.18	-0.09	21.30	2.87	1.01	0.65	175.50	149.50	33.80
471	ABC	August β Capricornids	146.40	305.40	-14.10	0.00	0.00	13.90	2.34	0.85	0.64	234.50	146.50	2.10
471	ABC	August β Capricornids	137.80	306.30	-12.50	0.00	0.00	16.95	2.32	0.75	0.68	248.90	137.80	3.40
472	ATA	August θ Aquilids	147.30	310.60	-1.80	0.00	0.00	15.90	2.24	0.79	0.65	243.50	147.30	7.40
472	ATA	August θ Aquilids	143.80	310.30	-1.80	0.00	0.00	18.66	2.80	0.74	0.73	248.30	143.80	8.80
473	LAQ	λ Aquariids	147.60	342.30	-5.50	0.00	0.00	30.60	2.41	0.30	0.88	300.30	148.00	2.60
473	LAQ	λ Aquariids	145.30	341.00	-5.10	0.00	0.00	31.12	2.34	0.28	0.88	303.20	145.30	4.10
474	ABA	August β Aquariids	148.70	300.00	4.70	0.00	0.00	15.10	2.92	0.87	0.70	228.10	148.70	10.20
474	ABA	August β Aquariids	147.90	301.30	4.50	0.00	0.00	15.07	2.65	0.86	0.68	230.90	147.90	10.10
475	SAQ	September Aquariids	158.10	329.20	-11.00	0.00	0.00	17.90	2.48	0.72	0.71	251.50	158.20	1.30
475	SAQ	September Aquariids	157.10	330.20	-10.70	0.00	0.00	21.02	3.52	0.67	0.81	255.70	157.10	0.80
476	ICE	ι Cetids	176.10	4.80	-1.40	0.00	0.00	26.90	2.51	0.42	0.83	134.00	357.20	3.40
476	ICE	ι Cetids	175.50	4.60	-0.70	0.00	0.00	26.23	2.22	0.42	0.81	107.70	355.50	2.60
477	SRP	September ρ Pegasids	177.40	343.40	5.00	0.00	0.00	18.30	2.62	0.73	0.72	249.80	177.40	6.10
477	SRP	September ρ Pegasids	177.10	345.90	5.10	0.00	0.00	18.41	2.32	0.70	0.70	254.80	177.10	5.80
478	STC	September θ Capricornids	177.70	316.00	-14.10	0.00	0.00	10.30	2.38	0.94	0.61	213.10	173.50	1.70
478	STC	September θ Capricornids	170.70	315.30	-13.30	0.00	0.00	10.19	2.11	0.93	0.56	218.30	170.70	1.10
479	SOO	September ο Orionids	185.60	79.20	12.00	0.00	0.00	67.60	10.75	0.77	0.93	58.10	5.60	159.30
479	SOO	September ο Orionids	185.70	80.40	10.61	0.00	0.00	66.87	6.39	0.79	0.88	56.50	5.70	156.50
479	SOO	September ο Orionids	187.00	80.90	12.50	1.01	0.06	67.60	8.11	0.78	0.91	57.60	7.70	159.90
480	TCA	τ Cancrids	207.30	137.50	30.50	0.00	0.00	67.20	4.75	0.84	0.82	131.80	207.30	154.80
480	TCA	τ Cancrids	204.10	135.10	29.20	0.00	0.00	67.31	5.02	0.81	0.84	125.90	204.10	158.00
480	TCA	τ Cancrids	206.00	137.10	29.40	1.07	-0.29	67.20	4.88	0.82	0.84	126.90	205.60	156.90
481	OML	October μ Leonids	218.60	148.00	29.70	0.00	0.00	67.30	4.91	0.89	0.82	140.30	218.60	151.50
481	OML	October μ Leonids	219.70	148.50	29.10	0.00	0.00	67.13	4.31	0.89	0.79	140.70	219.70	152.10
481	OML	October μ Leonids	219.00	148.30	29.20	1.03	-0.34	67.60	5.02	0.89	0.83	140.90	218.80	151.80
482	NGP	November γ Pegasids	228.40	354.90	14.40	0.00	0.00	11.40	3.18	0.94	0.71	207.70	228.40	4.40
483	NAS	November α Sextantids	231.40	149.90	-3.40	0.00	0.00	71.10	-8.72	0.90	1.10	325.50	51.40	154.20
483	NAS	November α Sextantids	232.00	148.80	-3.90	0.91	-0.34	69.00	29.40	0.90	0.97	323.30	51.90	152.60
484	IOA	ι Arietids	234.70	27.60	17.30	0.00	0.00	13.80	2.40	0.84	0.65	193.70	200.40	3.40
484	IOA	ι Arietids	233.60	28.50	15.60	0.00	0.00	14.51	2.55	0.82	0.68	233.90	233.60	1.50
485	NZT	November ζ Taurids	240.00	81.00	20.50	0.00	0.00	35.50	2.32	0.17	0.93	135.90	60.00	5.50
486	NZP	November ζ Perseids	240.40	67.30	33.60	0.00	0.00	29.40	2.76	0.39	0.86	288.20	240.40	13.30
486	NZP	November ζ Perseids	240.00	68.00	32.80	1.16	0.15	29.50	2.59	0.36	0.86	290.50	239.60	12.90
487	NRC	November ρ Cygnids	241.40	323.20	43.40	0.00	0.00	11.80	2.56	0.98	0.62	189.10	241.40	14.44
488	NSU	November σ Ursae Majorids	241.60	148.30	59.20	0.00	0.00	55.30	29.04	0.81	0.97	230.00	241.60	99.90
488	NSU	November σ Ursae Majorids	243.00	151.20	58.20	1.22	-0.35	55.10	14.41	0.82	0.94	230.00	242.50	100.20
489	ZLE	ζ Leonids	248.60	159.60	24.40	0.00	0.00	74.00	-2.77	0.95	1.34	200.00	248.60	155.30
490	DGE	December δ Eridanids	249.30	69.50	-13.60	0.00	0.00	23.80	3.93	0.72	0.82	66.80	69.30	23.50
490	DGE	December δ Eridanids	254.00	73.30	-7.60	0.87	0.11	24.70	4.43	0.67	0.85	72.50	73.30	22.20
491	DCC	December δ Cancrids	249.50	131.70	12.80	0.00	0.00	64.10	6.67	0.39	0.94	104.90	69.50	167.80
491	DCC	December δ Cancrids	248.00	129.70	13.30	0.98	-0.25	64.30	9.13	0.38	0.96	105.00	67.70	162.90
492	DTH	December θ Hydrids	251.90	139.20	-0.40	0.00	0.00	67.10	21.06	0.69	0.97	66.30	71.90	149.60
493	DEC	December ε Craterids	251.90	166.00	-10.00	0.00	0.00	70.60	-57.81	0.93	1.02	331.40	71.90	154.30
493	DEC	December ε Craterids	253.00	165.90	-10.70	0.90	-0.39	69.80	21.40	0.92	0.96	330.80	73.40	153.20
494	DEL	December Lyncids	253.10	129.20	49.10	0.00	0.00	51.70	6.89	0.36	0.95	287.20	253.10	94.00
494	DEL	December Lyncids	252.00	127.70	49.40	1.28	-0.25	51.70	5.57	0.36	0.93	286.60	251.80	93.80
495	DMT	December μ Taurids	262.10	62.40	10.30	0.00	0.00	13.50	2.13	0.83	0.61	53.60	82.10	4.10
496	DED	December ε Eridanids	262.60	53.60	-4.40	0.00	0.00	12.20	2.46	0.90	0.63	38.00	82.60	7.40
497	DAB	December α Bootids	263.90	213.50	22.30	0.00	0.00	59.50	-343.00	0.69	1.00	113.30	263.90	112.30
497	DAB	December α Bootids	261.80	210.60	22.90	0.00	0.00	59.47	20.91	0.69	0.97	113.10	261.80	113.60
497	DAB	December α Bootids	264.00	213.00	21.90	0.83	-0.33	59.80	62.10	0.68	0.99	113.20	264.30	113.50
498	DMH	December μ Hydrids	264.80	152.70	-23.80	0.00	0.00	63.80	54.71	0.93	0.98	27.20	84.80	123.50
498	DMH	December μ Hydrids	269.00	156.80	-25.90	0.83	-0.36	63.70	26.50	0.94	0.96	25.10	88.80	123.10
499	DDL	December δ Leonids	275.90	168.80	27.20	0.00	0.00	67.00	-4.02	0.61	1.15	253.00	275.90	137.30
499	DDL	December δ Leonids	277.40	169.50	26.60	0.00	0.00	63.06	11.91	0.54	0.96	266.10	277.40	135.30
500	JPV	January φ Virginids	285.60	220.30	2.50	0.00	0.00	66.20	13.38	0.67	0.95	110.30	285.60	145.30
500	JPV	January φ Virginids	288.20	221.90	1.20	0.00	0.00	65.05	4.90	0.66	0.87	106.60	288.20	146.50
500	JPV	January φ Virginids	289.00	223.10	1.20	0.91	-0.29	66.50	6.45	0.68	0.97	111.20	290.10	146.60
501	FPL	February π Leonids	317.30	147.80	9.00	0.00	0.00	28.30	2.27	0.39	0.83	110.00	137.30	4.10
502	DRV	December ρ Virginids	252.50	185.10	12.90	0.00	0.00	68.10	10.09	0.78	0.92	124.00	252.50	153.90
502	DRV	December ρ Virginids	253.20	185.10	12.30	0.00	0.00	68.18	9.70	0.78	0.92	123.80	253.20	154.80
502	DRV	December ρ Virginids	256.00	187.50	13.00	0.91	-0.39	68.30	8.35	0.80	0.94	127.60	256.00	152.50
505	AIC	August ι Cetids	145.40	356.80	-9.60	0.71	0.21	37.24	1.83	0.11	0.94	148.20	325.40	21.30
505	AIC	August ι Cetids	151.00	2.00	-7.70	0.92	0.40	37.70	2.07	0.11	0.95	145.90	334.40	20.90
506	FEV	February ε Virginids	315.30	201.70	10.40	0.00	0.00	63.00	11.62	0.49	0.96	271.20	315.30	138.10
506	FEV	February ε Virginids	314.00	200.40	11.00	0.89	-0.37	62.90	8.28	0.49	0.95	272.50	312.60	138.00
507	UAN	υ Andromedids	98.00	19.80	42.50	1.18	0.35	58.80	21.50	0.69	0.97	110.30	97.97	116.40
507	UAN	υ Andromedids	96.00	7.10	40.30	0.96	0.39	59.30	8.85	0.85	0.91	130.00	101.00	117.80
508	TPI	thη Piscids	146.50	351.50	4.00	0.00	0.00	38.10	2.08	0.10	0.95	328.00	146.50	21.10
509	KVI	κ Virginids	6.00	208.00	-8.00	0.92	-0.35	37.40	2.50	0.14	0.94	321.00	6.00	8.00
510	JRC	June ρ Cygnids	84.00	321.80	43.90	0.40	0.60	50.20	21.00	1.01	0.93	190.00	84.20	90.00
510	JRC	June ρ Cygnids	84.00	320.50	44.10	0.67	0.31	50.90	251.50	1.01	1.00	191.00	84.50	89.30
511	FLY	15 Lyncids	202.00	101.00	54.60	1.30	-0.10	59.60	3.60	0.85	0.76	228.00	202.00	121.60
512	RPU	ρ Puppids	223.00	120.00	-24.00	0.80	-0.20	57.50	13.00	0.98	0.91	9.00	43.00	106.40
512	RPU	ρ Puppids	231.00	130.40	-26.30	0.77	-0.26	57.80	9.40	0.99	0.91	349.40	50.80	107.00
513	EPV	ε Virginids	258.00	197.00	7.20	0.79	-0.24	66.40	28.00	0.57	0.98	99.00	258.00	151.00
514	OMC	ω Capricornids	66.00	315.00	-30.00	1.00	0.30	64.60	27.00	0.53	0.98	87.00	246.00	142.40
